,location_name,location_id,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
39,Basque Country,60374,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,2020-06-18,2020-03-15,2020-04-13
40,Bavaria,60378,,,2020-03-21,2020-05-06,2020-03-16,,2020-03-21,,2020-03-17,,2020-03-21,2020-04-27
41,Beijing,492,2020-01-31,2020-04-15,2020-01-31,2020-04-15,2020-01-31,2020-04-15,2020-01-31,2020-04-15,2020-01-31,2020-04-15,2020-01-31,2020-04-15
42,Belarus,57,,,,,,,,,,,,
43,Belgium,76,,,2020-03-18,2020-06-08,2020-03-14,2020-09-01,2020-03-13,,2020-03-13,,2020-03-18,2020-05-11
44,Benin,200,,,,,2020-03-30,,2020-03-18,,,,,
45,Berlin,60379,,,2020-03-23,2020-05-09,2020-03-23,2020-05-29,2020-03-23,,2020-03-14,,2020-03-23,2020-04-22
46,Bihar,4844,2020-03-23,2020-05-19,2020-03-23,2020-06-01,2020-03-13,,2020-03-23,,2020-03-23,,2020-03-23,2020-05-08
47,Bolivia (Plurinational State of),121,2020-03-27,,2020-03-26,,2020-03-12,,2020-03-12,,2020-03-16,,2020-03-20,2020-07-01
48,Bosnia and Herzegovina,44,2020-03-19,2020-05-29,2020-03-22,2020-05-21,2020-03-12,,2020-03-18,,2020-03-18,,2020-03-20,2020-04-29
49,Brandenburg,60380,,,2020-03-17,2020-05-09,2020-03-18,2020-05-25,2020-03-17,,2020-03-17,,2020-03-17,2020-04-22
50,Brazil,135,,,,,2020-03-24,,,,,,,
51,Bremen,60381,,,2020-03-22,2020-05-14,2020-03-16,2020-05-25,2020-03-22,,2020-03-20,,2020-03-20,2020-04-20
52,British Columbia,43859,,,,,2020-03-17,2020-06-01,2020-03-16,,2020-03-20,,,
53,Bulgaria,45,2020-03-21,,2020-03-17,2020-05-03,2020-03-13,,2020-03-13,,2020-03-13,,2020-03-13,2020-05-06
54,Burkina Faso,201,,,,,2020-03-16,,2020-03-13,,,,,
55,Cabo Verde,203,,,,,2020-03-27,,2020-03-16,,2020-03-16,,,
56,Calabria,35512,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
57,California,527,,,2020-03-19,,2020-03-19,,2020-03-11,,2020-03-19,,2020-03-19,
58,Cameroon,202,,,,,2020-03-18,,2020-03-18,,,,,
59,Campania,35509,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
60,Campeche,4646,,,2020-06-22,,2020-03-18,,2020-03-19,,2020-03-30,,2020-03-30,
61,Canada,101,,,,,2020-03-23,,2020-03-23,,,,,
62,Canary Islands,60364,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
63,Cantabria,60359,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,2020-06-22,2020-03-15,2020-04-13
64,Castile and León,60367,,,2020-03-15,2020-05-25,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
65,Castilla-La Mancha,60360,,,2020-03-15,2020-05-18,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
66,Catalonia,60368,,,2020-03-15,2020-05-25,2020-03-14,,2020-03-11,,2020-03-12,2020-06-22,2020-03-15,2020-05-25
67,Ceará,4755,,,2020-05-05,,2020-03-16,,2020-03-16,,2020-03-20,,2020-03-20,2020-06-08
68,Central African Republic,169,,,,,2020-03-27,,2020-03-13,,2020-03-26,,,
69,Chad,204,,,,,2020-03-20,,2020-03-19,,2020-03-23,,,
70,Chhattisgarh,4846,2020-03-25,2020-05-28,2020-03-21,2020-06-01,2020-03-13,,2020-03-21,,2020-03-21,,2020-03-21,2020-05-18
71,Chiapas,4649,,,2020-06-22,,2020-03-22,,2020-03-15,,2020-03-23,,2020-03-30,
72,Chihuahua,4650,,,2020-06-22,,2020-03-23,,2020-03-25,,2020-03-24,,2020-03-24,
73,Chile,98,,,,,2020-03-16,,2020-03-16,,2020-03-21,,,
74,China,6,,,,,,,,,,,,
75,Chongqing,493,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24
76,Coahuila,4647,,,2020-06-22,,2020-03-19,,2020-03-18,,2020-03-23,,2020-03-30,
77,Colima,4648,,,2020-06-22,,2020-03-16,,2020-03-16,,2020-03-18,,2020-03-18,
78,Colombia,125,2020-03-25,2020-06-15,2020-03-25,2020-06-15,2020-03-16,,2020-03-16,,2020-03-19,,2020-03-25,2020-04-27
79,Colorado,528,,,2020-03-26,2020-05-09,2020-03-23,,2020-03-19,,2020-03-17,,2020-03-26,2020-05-09
80,Community of Madrid,60361,,,2020-03-15,2020-05-25,2020-03-11,,2020-03-15,,2020-03-13,,2020-03-13,2020-04-13
81,Comoros,176,,,,,2020-03-20,,2020-03-16,,,,,
82,Congo,170,,,2020-03-31,2020-05-18,2020-03-19,,2020-03-19,,2020-03-19,,2020-03-31,2020-05-18
83,Connecticut,529,,,,,2020-03-17,,2020-03-12,,2020-03-16,,2020-03-23,2020-05-20
84,Costa Rica,126,2020-04-08,2020-04-13,2020-03-24,2020-05-01,2020-03-16,,2020-03-09,,2020-03-23,,,
85,Croatia,46,2020-03-23,2020-05-25,2020-03-17,2020-05-11,2020-03-16,2020-05-25,2020-03-09,,2020-03-19,,2020-03-19,2020-04-27
86,Cuba,109,2020-04-11,,,,2020-03-24,,2020-03-20,,2020-03-24,,,
87,Cyprus,77,,,2020-03-24,2020-05-04,2020-03-13,2020-05-21,2020-03-24,,2020-03-24,,2020-03-24,2020-05-04
88,Czechia,47,,,2020-03-16,2020-04-20,2020-03-10,,2020-03-10,,2020-03-10,,2020-03-14,2020-04-20
89,Côte d'Ivoire,205,,,,,2020-03-16,2020-07-31,2020-03-16,,2020-03-18,2020-07-31,,
90,Delaware,530,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-24,2020-05-08
91,Delhi,4849,2020-03-23,2020-04-26,2020-03-23,2020-06-01,2020-03-19,,2020-03-23,,2020-03-20,,2020-03-20,2020-04-26
92,Democratic Republic of the Congo,171,,,,,2020-03-19,,2020-03-19,,2020-03-19,,,
93,Denmark,78,,,,,2020-03-16,2020-09-10,2020-03-18,,2020-03-18,,,
94,District of Columbia,531,,,2020-03-30,2020-05-29,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-25,2020-05-29
95,Distrito Federal,4756,,,,,2020-03-12,,2020-03-12,,2020-03-15,,2020-03-19,2020-05-27
